date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:19	72438/72438	---M-Z	200	added ('OK')	text/html	etag:%2211af6-607430ddfdf2f-gzip%22	https://themesbrand.com/lexa/layouts/index.html	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/index.html	(from )
23:04:19	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
23:04:19	106731/106731	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221a0eb-607430ddc260d%22	https://themesbrand.com/lexa/layouts/assets/images/favicon.ico	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/favicon.ico	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:20	298788/298788	---M-Z	200	added ('OK')	text/css	etag:%2248f24-6240578e8a0c8-gzip%22	https://themesbrand.com/lexa/layouts/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:20	412659/412659	---MCZ	200	added ('OK')	text/css	etag:%2264bf3-607430ddb996d-gzip%22	https://themesbrand.com/lexa/layouts/assets/css/icons.min.css	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/css/icons.min.css	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:20	91733/91733	---M-Z	200	added ('OK')	text/css	etag:%2216655-6099cdd35142b-gzip%22	https://themesbrand.com/lexa/layouts/assets/css/app.min.css	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/css/app.min.css	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:20	2827/2827	---M--	200	added ('OK')	image/png	etag:%22b0b-607430ddc35ad%22	https://themesbrand.com/lexa/layouts/assets/images/logo-sm.png	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/logo-sm.png	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:20	3929/3929	---M--	200	added ('OK')	image/png	etag:%22f59-607430ddc35ad%22	https://themesbrand.com/lexa/layouts/assets/images/logo-dark.png	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:21	4049/4049	---M--	200	added ('OK')	image/png	etag:%22fd1-607430ddc35ad%22	https://themesbrand.com/lexa/layouts/assets/images/logo-light.png	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/logo-light.png	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:21	2323/2323	---M--	200	added ('OK')	image/jpeg	etag:%22913-607430ddc260d%22	https://themesbrand.com/lexa/layouts/assets/images/flags/us_flag.jpg	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/flags/us_flag.jpg	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:22	1536/1536	---M--	200	added ('OK')	image/jpeg	etag:%22600-607430ddc260d%22	https://themesbrand.com/lexa/layouts/assets/images/flags/germany_flag.jpg	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/flags/germany_flag.jpg	(from https://themesbrand.com/lexa/layouts/index.html)
23:04:22	1543/1543	---M--	200	added ('OK')	image/jpeg	etag:%22607-607430ddc260d%22	https://themesbrand.com/lexa/layouts/assets/images/flags/italy_flag.jpg	C:/My%20Web%20Sites/admin4/themesbrand.com/lexa/layouts/assets/images/flags/italy_flag.jpg	(from https://themesbrand.com/lexa/layouts/index.html)
